agents,utilities
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-Random4')","-1.0;1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-Random4')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random4')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random4')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-Random4' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;-1.0"
