agents,utilities
"('MCTS-UCB1-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","0.0;0.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random200')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random200')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random200')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random200')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random200')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random200')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random200')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random200')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random200')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1-0.1-Random200')","-1.0;1.0"
