agents,utilities
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random200')","1.0;-1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random200')","1.0;-1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random200')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;1.0"
