agents,utilities
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-1.0"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-1.0"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-1.0"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-1.0"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","0.0;0.0"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1GRAVE-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.1-NST')","0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.1-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.1-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.1-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.1-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.1-NST')","0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.1-NST')","0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.1-NST')","-1.0;1.0"
