agents,utilities
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","-1.0;1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0"
